SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2020,NPOPCHG_2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALINC2020,NATURALINC2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,RBIRTH2021,RDEATH2021,RNATURALINC2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
040,1,1,09,Connecticut,3605944,3600260,3605597,-5684,5337,8290,32671,9428,37646,-1138,-4975,413,4583,-4908,5134,-4495,9717,-51,595,9.067901292,10.448722477,-1.380821185,1.272020802,1.4249519523,2.6969727542
040,3,5,10,Delaware,989948,991886,1003384,1938,11498,2408,10311,2649,11655,-241,-1344,33,619,2180,12207,2213,12826,-34,16,10.335443323,11.682629419,-1.347186095,0.6204674054,12.235937993,12.856405399
040,3,5,11,District of Columbia,689545,690093,670050,548,-20043,2145,8723,1387,6552,758,2171,51,1128,-292,-23030,-241,-21902,31,-312,12.826592498,9.6342811013,3.1923113967,1.6586491273,-33.86408635,-32.20543722
040,3,5,12,Florida,21538187,21569932,21781128,31745,211196,50641,210305,63596,255553,-12955,-45248,2670,38590,43068,220890,45738,259480,-1038,-3036,9.7024155811,11.789930858,-2.087515276,1.7803486235,10.190754275,11.971102898
040,3,5,13,Georgia,10711908,10725800,10799566,13892,73766,29463,121269,25664,105276,3799,15993,461,6997,9347,50632,9808,57629,285,144,11.267543604,9.7815758394,1.4859677647,0.6501167042,4.7044031679,5.354519872
040,4,9,15,Hawaii,1455271,1451911,1441553,-3360,-10358,4002,15904,3773,14648,229,1256,38,1077,-3571,-12603,-3533,-11526,-56,-88,10.993051927,10.124888369,0.8681635576,0.7444364264,-8.711357736,-7.96692131
040,4,8,16,Idaho,1839106,1847772,1900923,8666,53151,5513,21316,4450,16918,1063,4398,-1,413,7563,48876,7562,49289,41,-536,11.37249096,9.0260744072,2.346416553,0.2203433462,26.076274544,26.29661789
040,2,3,17,Illinois,12812508,12785245,12671469,-27263,-113776,34072,133097,32486,130319,1586,2778,90,5766,-29052,-122460,-28962,-116694,113,140,10.45673059,10.238477755,0.218252835,0.4530042644,-9.621037499,-9.168033235
040,2,3,18,Indiana,6785528,6785644,6805985,116,20341,19219,77598,19664,76906,-445,692,238,4756,335,14280,573,19036,-12,613,11.418498842,11.31667146,0.1018273821,0.6998425281,2.101293377,2.801135905
040,2,4,19,Iowa,3190369,3188669,3193079,-1700,4410,9233,35771,9005,35538,228,233,108,3078,-1994,833,-1886,3911,-42,266,11.210408183,11.137387437,0.073020746,0.9646259928,0.2610570019,1.2256829947
040,2,4,20,Kansas,2937880,2935880,2934582,-2000,-1298,8452,33670,7981,31407,471,2263,41,1355,-2511,-5241,-2470,-3886,-1,325,11.470988144,10.700009641,0.7709785022,0.461633173,-1.785549417,-1.323916244
040,3,6,21,Kentucky,4505836,4503958,4509394,-1878,5436,12456,50725,14557,56853,-2101,-6128,34,1182,258,10022,292,11204,-69,360,11.255524027,12.615284525,-1.359760498,0.2622775633,2.2238119625,2.4860895259
040,3,7,22,Louisiana,4657757,4651203,4624047,-6554,-27156,13337,55942,13460,55335,-123,607,88,2692,-6542,-30312,-6454,-27620,23,-143,12.062639821,11.931753861,0.1308859599,0.5804695291,-6.536104148,-5.955634619
040,1,1,23,Maine,1362359,1362280,1372247,-79,9967,2957,11291,4507,17635,-1550,-6344,42,867,1530,15473,1572,16340,-101,-29,8.258100944,12.898025874,-4.63992493,0.634113322,11.316765203,11.950878525
040,3,5,24,Maryland,6177224,6172679,6165129,-4545,-7550,16844,66906,15128,61654,1716,5252,516,6838,-6795,-19871,-6279,-13033,18,231,10.845686689,9.9943198986,0.8513667906,1.1084627026,-3.221155654,-2.112692952
040,1,1,25,Massachusetts,7029917,7022220,6984723,-7697,-37497,16914,66197,17353,70431,-439,-4234,978,12675,-8152,-46187,-7174,-33512,-84,249,9.4520267556,10.056584081,-0.604557326,1.8098167459,-6.594872272,-4.785055526
040,2,3,26,Michigan,10077331,10067664,10050811,-9667,-16853,26541,102983,29450,117336,-2909,-14353,295,4167,-6823,-7893,-6528,-3726,-230,1226,10.237654693,11.664502404,-1.426847711,0.4142461096,-0.784651918,-0.370405809
040,2,4,27,Minnesota,5706494,5707165,5707390,671,225,16428,63065,13403,53578,3025,9487,171,4042,-2494,-13453,-2323,-9411,-31,149,11.049927045,9.3876633824,1.6622636625,0.7082185858,-2.357165917,-1.648947331
040,3,6,28,Mississippi,2961279,2956870,2949965,-4409,-6905,8277,34957,9793,38194,-1516,-3237,6,441,-2886,-4246,-2880,-3805,-13,137,11.836118666,12.932137092,-1.096018426,0.1493185437,-1.437656545,-1.288338002
040,2,4,29,Missouri,6154913,6154481,6168187,-432,13706,17458,68818,18574,73333,-1116,-4515,129,2942,672,14861,801,17803,-117,418,11.169334433,11.902130285,-0.732795852,0.4774939972,2.4119776659,2.8894716631
040,4,8,30,Montana,1084225,1086193,1104271,1968,18078,2783,10502,3050,12022,-267,-1520,28,551,2243,19240,2271,19791,-36,-193,9.5888359727,10.976669783,-1.387833811,0.5030897563,17.567054286,18.070144043
040,2,4,31,Nebraska,1961504,1961455,1963692,-49,2237,6099,23524,5041,19213,1058,4311,25,1044,-1134,-3313,-1109,-2269,2,195,11.986302679,9.7896970483,2.1966056303,0.5319545994,-1.688089644,-1.156135044
040,4,8,32,Nevada,3104614,3114071,3143991,9457,29920,8193,33883,7894,31808,299,2075,136,2189,8953,25327,9089,27516,69,329,10.828591983,10.165447386,0.6631445965,0.6995776009,8.0941991307,8.7937767315
040,1,1,33,New Hampshire,1377529,1377848,1388992,319,11144,2913,11414,3659,15158,-746,-3744,59,1243,1067,13608,1126,14851,-61,37,8.2505674343,10.956903905,-2.70633647,0.8984979254,9.8364921716,10.734990097
040,1,2,34,New Jersey,9288994,9279743,9267130,-9251,-12613,24180,95254,22016,90557,2164,4697,791,10014,-12188,-27766,-11397,-17752,-18,442,10.271704562,9.7652040859,0.5065004758,1.0798585832,-2.994143541,-1.914284958
040,4,8,35,New Mexico,2117522,2117566,2115877,44,-1689,5547,21996,5808,23082,-261,-1086,90,1467,265,-2186,355,-719,-50,116,10.391541825,10.904599401,-0.513057575,0.6930529123,-1.032729152,-0.33967624
040,1,2,36,New York,20201249,20154933,19835913,-46316,-319020,53740,210640,46447,192137,7293,18503,553,18307,-54072,-352185,-53519,-333878,-90,-3645,10.5344108,9.6090490309,0.925361769,0.9155595258,-17.6132808,-16.69772127
040,3,5,37,North Carolina,10439388,10457177,10551162,17789,93985,28009,114011,28852,115709,-843,-1698,440,6756,18211,88673,18651,95429,-19,254,10.853880452,11.015530547,-0.161650095,0.6431731704,8.441695462,9.0848686324
040,2,4,38,North Dakota,779094,778962,774948,-132,-4014,2638,9798,2116,7588,522,2210,-3,294,-659,-6460,-662,-6166,8,-58,12.610768963,9.7663313834,2.84443758,0.3784002935,-8.314509849,-7.936109556
040,2,3,39,Ohio,11799448,11790587,11780017,-8861,-10570,32291,128595,36827,144406,-4536,-15811,434,7084,-4487,-3128,-4053,3956,-272,1285,10.911472612,12.253058937,-1.341586325,0.6010876938,-0.265415345,0.3356723485
040,3,7,40,Oklahoma,3959353,3962031,3986639,2678,24608,11611,47125,11925,48995,-314,-1870,80,1523,2902,24687,2982,26210,10,268,11.857329591,12.327848558,-0.470518967,0.3832087632,6.2116052119,6.5948139752
040,4,9,41,Oregon,4237256,4241544,4246155,4288,4611,10425,39877,11334,44592,-909,-4715,64,1101,5246,8080,5310,9181,-113,145,9.39642181,10.507441416,-1.111019606,0.2594342707,1.9039317959,2.1633660666
040,1,2,42,Pennsylvania,13002700,12989625,12964056,-13075,-25569,32214,128351,39879,159229,-7665,-30878,439,7467,-5302,-3194,-4863,4273,-547,1036,9.8907742605,12.270244055,-2.379469795,0.5754097078,-0.24613079,0.3292789181
040,1,1,44,Rhode Island,1097379,1096229,1095610,-1150,-619,2484,9717,3036,11967,-552,-2250,32,615,-599,890,-567,1505,-31,126,8.8665271491,10.919597653,-2.053070504,0.5611726044,0.8121034437,1.3732760481
040,3,5,45,South Carolina,5118425,5130729,5190705,12304,59976,13339,54713,15134,62520,-1795,-7807,192,3138,13979,64833,14171,67971,-72,-188,10.601821414,12.114595704,-1.512774291,0.6080550435,12.56278924,13.170844284
040,2,4,46,South Dakota,886667,887099,895376,432,8277,2881,10843,2496,9175,385,1668,45,1039,2,5564,47,6603,0,6,12.16622954,10.29467454,1.8715550008,1.1657947517,6.2430048107,7.4087995624
040,3,6,47,Tennessee,6910840,6920119,6975218,9279,55099,19055,77353,21873,84944,-2818,-7591,36,1751,12082,61390,12118,63141,-21,-451,11.133663041,12.226259788,-1.092596747,0.2520269929,8.8360577365,9.0880847294
040,3,7,48,Texas,29145505,29217653,29527941,72148,310288,88377,362450,60137,248605,28240,113845,1318,27185,40982,170307,42300,197492,1608,-1049,12.339648825,8.4637836839,3.8758651415,0.9255162183,5.7981199407,6.723636159
040,4,8,49,Utah,3271616,3281684,3337975,10068,56291,11621,45159,5705,22167,5916,22992,40,1180,3884,32200,3924,33380,228,-81,13.643905222,6.697323835,6.9465813873,0.3565138325,9.7285978024,10.085111635
040,1,1,50,Vermont,643077,642495,645570,-582,3075,1375,5057,1804,6884,-429,-1827,7,275,-119,4589,-112,4864,-41,38,7.8520882098,10.688901569,-2.83681336,0.4269970848,7.1254168074,7.5524138922
040,3,5,51,Virginia,8631393,8632044,8642274,651,10230,23237,93037,20881,84697,2356,8340,574,10930,-2299,-8995,-1725,1935,20,-45,10.771713245,9.8061179608,0.9655952843,1.2654624049,-1.041430406,0.2240319994
040,4,9,53,Washington,7705281,7718785,7738692,13504,19907,21077,81193,17643,70836,3434,10357,554,9233,9437,-29,9991,9204,79,346,10.505336673,9.1652732202,1.3400634528,1.1946322159,-0.003752229,1.1908799864
040,3,5,54,West Virginia,1793716,1789798,1782959,-3918,-6839,4383,17232,6995,27102,-2612,-9870,26,556,-1221,2343,-1195,2899,-111,132,9.6463319504,15.171476817,-5.525144867,0.3112442296,1.3115921402,1.6228363698
040,2,3,55,Wisconsin,5893718,5892323,5895908,-1395,3585,15629,60404,16194,62985,-565,-2581,105,2268,-799,3307,-694,5575,-136,591,10.248187366,10.686081737,-0.437894371,0.3847905593,0.5610680687,0.945858628
040,4,8,56,Wyoming,576851,577267,578803,416,1536,1643,6213,1500,6042,143,171,4,116,279,1252,283,1368,-10,-3,10.748484088,10.452654251,0.2958298373,0.2006798896,2.1659588087,2.3666386983
040,X,X,72,Puerto Rico,3285874,3281538,3263584,-4336,-17954,4549,18537,7324,32710,-2775,-14173,-1561,-3781,0,0,-1561,-3781,0,0,5.6643711149,9.9952300354,-4.330858921,-1.155364254,0,-1.155364254
